DATAFLOW,LAST UPDATE,freq,unit,sex,age,icd10,resid,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y65-69,F01_F03,TOT_IN,EL,2011,1,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y65-69,F01_F03,TOT_IN,EL,2012,4,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y65-69,F01_F03,TOT_IN,EL,2013,3,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y65-69,F01_F03,TOT_IN,EL,2014,15,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y65-69,F01_F03,TOT_IN,EL,2015,17,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y65-69,F01_F03,TOT_IN,EL,2016,22,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y65-69,F01_F03,TOT_IN,EL,2017,25,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y65-69,F01_F03,TOT_IN,EL,2018,33,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y65-69,F01_F03,TOT_IN,EL,2019,32,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y65-69,F01_F03,TOT_IN,EL,2020,27,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y65-69,F01_F03,TOT_IN,ES,2011,48,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y65-69,F01_F03,TOT_IN,ES,2012,59,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y65-69,F01_F03,TOT_IN,ES,2013,57,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y65-69,F01_F03,TOT_IN,ES,2014,72,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y65-69,F01_F03,TOT_IN,ES,2015,66,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y65-69,F01_F03,TOT_IN,ES,2016,51,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y65-69,F01_F03,TOT_IN,ES,2017,70,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y65-69,F01_F03,TOT_IN,ES,2018,82,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y65-69,F01_F03,TOT_IN,ES,2019,72,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y65-69,F01_F03,TOT_IN,ES,2020,83,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y65-69,F01_F03,TOT_IN,ES,2021,65,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y65-69,F01_F03,TOT_IN,EU27_2020,2011,368,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y65-69,F01_F03,TOT_IN,EU27_2020,2012,427,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y65-69,F01_F03,TOT_IN,EU27_2020,2013,554,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y65-69,F01_F03,TOT_IN,EU27_2020,2014,525,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y65-69,F01_F03,TOT_IN,EU27_2020,2015,582,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y65-69,F01_F03,TOT_IN,EU27_2020,2016,635,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y65-69,F01_F03,TOT_IN,EU27_2020,2017,691,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y65-69,F01_F03,TOT_IN,EU27_2020,2018,781,p
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y65-69,F01_F03,TOT_IN,EU27_2020,2019,750,p
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y65-69,F01_F03,TOT_IN,EU27_2020,2020,760,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y65-69,F01_F03,TOT_IN,EU28,2011,522,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y65-69,F01_F03,TOT_IN,EU28,2012,605,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y65-69,F01_F03,TOT_IN,EU28,2013,759,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y65-69,F01_F03,TOT_IN,EU28,2014,716,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y65-69,F01_F03,TOT_IN,EU28,2015,807,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y65-69,F01_F03,TOT_IN,EU28,2016,891,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y65-69,F01_F03,TOT_IN,EU28,2017,895,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y65-69,F01_F03,TOT_IN,EU28,2018,988,p
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y65-69,F01_F03,TOT_IN,FI,2011,5,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y65-69,F01_F03,TOT_IN,FI,2012,4,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y65-69,F01_F03,TOT_IN,FI,2013,4,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y65-69,F01_F03,TOT_IN,FI,2014,7,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y65-69,F01_F03,TOT_IN,FI,2015,12,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y65-69,F01_F03,TOT_IN,FI,2016,5,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y65-69,F01_F03,TOT_IN,FI,2017,5,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y65-69,F01_F03,TOT_IN,FI,2018,12,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y65-69,F01_F03,TOT_IN,FI,2019,5,
