DATAFLOW,LAST UPDATE,freq,unit,sex,age,icd10,resid,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE85,F01_F03,TOT_IN,DK,2016,1283,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE85,F01_F03,TOT_IN,DK,2017,1430,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE85,F01_F03,TOT_IN,DK,2018,1502,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE85,F01_F03,TOT_IN,DK,2019,1361,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE85,F01_F03,TOT_IN,DK,2020,1292,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE85,F01_F03,TOT_IN,EE,2011,13,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE85,F01_F03,TOT_IN,EE,2012,11,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE85,F01_F03,TOT_IN,EE,2013,15,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE85,F01_F03,TOT_IN,EE,2014,13,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE85,F01_F03,TOT_IN,EE,2015,9,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE85,F01_F03,TOT_IN,EE,2016,23,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE85,F01_F03,TOT_IN,EE,2017,35,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE85,F01_F03,TOT_IN,EE,2018,27,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE85,F01_F03,TOT_IN,EE,2019,55,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE85,F01_F03,TOT_IN,EE,2020,52,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE85,F01_F03,TOT_IN,EL,2011,18,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE85,F01_F03,TOT_IN,EL,2012,15,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE85,F01_F03,TOT_IN,EL,2013,39,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE85,F01_F03,TOT_IN,EL,2014,136,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE85,F01_F03,TOT_IN,EL,2015,224,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE85,F01_F03,TOT_IN,EL,2016,265,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE85,F01_F03,TOT_IN,EL,2017,431,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE85,F01_F03,TOT_IN,EL,2018,341,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE85,F01_F03,TOT_IN,EL,2019,465,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE85,F01_F03,TOT_IN,EL,2020,616,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE85,F01_F03,TOT_IN,ES,2011,7483,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE85,F01_F03,TOT_IN,ES,2012,8494,
